,v_acidity,chlorides,t_s_dioxide,density,alcohol,red,quality
62,0.52,0.085,35.0,0.9968,9.5,1,7
63,0.735,0.081,54.0,0.9966,9.8,1,5
64,0.725,0.086,11.0,0.9962,10.9,1,5
66,0.52,0.079,39.0,0.9968,9.6,1,5
67,0.705,0.076,15.0,0.9962,10.7,1,5
68,0.32,0.07400000000000001,65.0,0.9969,10.7,1,5
69,0.705,0.07400000000000001,19.0,0.9962,10.5,1,6
70,0.63,0.076,27.0,0.9967,9.5,1,6
71,0.67,0.08800000000000001,96.0,0.9962,9.5,1,5
72,0.69,0.084,94.0,0.9961,9.5,1,5
73,0.675,0.084,43.0,0.9976,9.2,1,4
74,0.32,0.094,83.0,0.9984,9.6,1,5
75,0.41,0.09300000000000001,42.0,0.9986,10.5,1,5
77,0.785,0.10400000000000001,30.0,0.9966,10.7,1,6
78,0.75,0.086,80.0,0.9958,10.1,1,5
79,0.625,0.08,119.0,0.9972,9.1,1,4
80,0.45,0.069,15.0,0.9958,9.2,1,5
81,0.43,0.46399999999999997,67.0,0.9974,9.4,1,5
82,0.5,0.086,73.0,0.997,9.1,1,5
83,0.67,0.401,51.0,0.9969,9.4,1,5
84,0.3,0.069,61.0,0.9959,10.3,1,6
85,0.55,0.076,40.0,0.9961,10.1,1,5
86,0.49,0.11,136.0,0.9972,9.9,1,6
88,0.49,0.062,31.0,0.9966,9.6,1,5
90,0.39,0.107,125.0,0.9978,9.5,1,5
91,0.62,0.076,24.0,0.9978,9.0,1,5
92,0.52,0.079,140.0,0.9964,9.5,1,5
93,0.49,0.11,133.0,0.9972,9.8,1,5
94,1.02,0.045,85.0,0.9938,10.5,1,4
95,0.6,0.057999999999999996,106.0,0.9932,12.9,1,6
96,0.775,0.102,23.0,0.9965,10.7,1,5
97,0.5,0.07,22.0,0.9963,9.2,1,5
98,0.9,0.079,10.0,0.9967,9.8,1,5
99,0.545,0.08,35.0,0.9972,9.0,1,6
101,0.61,0.084,50.0,0.9972,10.2,1,6
102,0.5,0.075,22.0,0.9959,10.4,1,6
103,0.575,0.077,65.0,0.9967,9.2,1,5
105,0.49,0.07,36.0,0.996,9.4,1,5
106,0.41,0.467,69.0,0.9973,9.3,1,5
107,0.63,0.08800000000000001,64.0,0.9969,9.3,1,5
108,0.33,0.091,80.0,0.9976,9.6,1,6
109,0.785,0.122,153.0,0.9969,9.3,1,5
110,0.56,0.10400000000000001,47.0,0.9964,9.5,1,5
112,0.62,0.084,108.0,0.9964,9.8,1,5
113,0.6,0.085,111.0,0.9964,9.8,1,5
114,0.31,0.08,46.0,0.9988,9.7,1,6
115,0.4,0.09,62.0,0.9966,10.5,1,6
116,0.54,0.077,40.0,0.9978,10.0,1,6
117,0.56,0.08199999999999999,28.0,0.997,9.4,1,6
118,0.55,0.11900000000000001,56.0,0.9962,10.9,1,6
120,0.69,0.09699999999999999,89.0,0.9959,9.2,1,6
121,1.07,0.17800000000000002,89.0,0.9962,9.0,1,5
122,0.695,0.075,13.0,0.998,9.2,1,5
123,0.71,0.08,34.0,0.9976,9.5,1,5
124,0.5,0.08199999999999999,102.0,0.996,9.5,1,5
125,0.62,0.146,90.0,0.9984,9.4,1,5
126,1.33,0.081,12.0,0.9964,10.9,1,5
127,1.33,0.08199999999999999,12.0,0.9964,10.9,1,5
128,0.59,0.065,16.0,0.9962,10.5,1,7
129,0.38,0.07200000000000001,19.0,0.9955,9.4,1,5
130,0.745,0.11800000000000001,134.0,0.9968,9.4,1,5
131,0.5,0.049,99.0,0.9937,13.0,1,5
133,0.5,0.06,26.0,0.9952,9.8,1,6
134,1.04,0.084,29.0,0.9959,9.9,1,6
135,0.745,0.09,63.0,0.9965,9.6,1,5
137,0.715,0.08900000000000001,52.0,0.9968,9.5,1,5
139,0.415,0.081,45.0,0.9972,9.2,1,5
140,0.56,0.081,105.0,0.9962,9.5,1,5
141,0.56,0.081,108.0,0.9962,9.5,1,5
142,0.34,0.05,63.0,0.9916,14.0,1,6
144,0.39,0.066,20.0,0.9954,9.4,1,5
145,0.67,0.11699999999999999,141.0,0.9968,9.4,1,5
146,0.68,0.087,94.0,0.9944,10.0,1,5
147,0.49,0.23600000000000002,88.0,0.9968,9.3,1,5
148,0.49,0.07400000000000001,30.0,0.9959,10.2,1,6
149,0.4,0.08900000000000001,43.0,0.9975,10.5,1,6
150,0.33,0.077,11.0,0.9958,10.3,1,6
151,0.52,0.61,69.0,0.9996,9.4,1,4
152,0.6,0.095,99.0,0.995,10.1,1,5
154,0.43,0.07,129.0,0.9973,10.5,1,5
156,0.43,0.071,128.0,0.9973,10.5,1,5
158,0.68,0.073,22.0,0.9969,9.3,1,5
159,0.6,0.079,86.0,0.9968,9.3,1,6
160,0.95,0.09,20.0,0.9959,9.6,1,5
161,0.68,0.07200000000000001,20.0,0.9965,9.2,1,4
162,0.53,0.076,31.0,0.9964,10.0,1,6
163,0.6,0.07,121.0,0.9982,9.4,1,5
164,0.59,0.07,121.0,0.9981,9.4,1,5
165,0.63,0.1,96.0,0.9961,9.5,1,5
166,0.64,0.085,101.0,0.9956,10.2,1,5
167,0.55,0.07200000000000001,42.0,0.9956,9.0,1,4
168,0.63,0.08900000000000001,44.0,0.9953,10.4,1,6
169,0.705,0.36,63.0,0.9964,9.5,1,5
170,0.885,0.057999999999999996,8.0,0.9972,9.1,1,4
171,0.42,0.073,18.0,0.9972,9.2,1,6
173,0.62,0.068,42.0,0.9961,11.5,1,6
174,0.38,0.08,35.0,0.9961,9.5,1,5
176,0.5,0.085,49.0,0.9958,9.5,1,5
177,0.52,0.087,38.0,0.9972,10.5,1,6
178,0.805,0.068,20.0,0.9969,9.6,1,5
179,0.61,0.067,42.0,0.9969,9.5,1,5
181,0.61,0.27,110.0,0.9972,9.3,1,5
182,0.73,0.076,42.0,0.9972,9.3,1,5
183,0.61,0.077,65.0,0.9971,9.3,1,5
184,0.62,0.079,62.0,0.997,9.3,1,6
185,0.31,0.111,85.0,0.9971,9.7,1,5
186,0.39,0.08199999999999999,67.0,0.9972,9.2,1,5
187,0.705,0.084,26.0,0.9976,9.7,1,5
188,0.5,0.084,143.0,0.9968,9.5,1,5
189,0.49,0.08199999999999999,144.0,0.9968,9.5,1,5
190,0.5,0.077,127.0,0.9976,9.4,1,5
191,0.37,0.07400000000000001,49.0,0.9974,9.8,1,6
192,0.63,0.099,126.0,0.9969,9.5,1,5
193,0.55,0.071,28.0,0.9964,9.7,1,5
195,0.59,0.07400000000000001,120.0,0.9968,9.4,1,5
196,0.58,0.07400000000000001,55.0,0.9968,10.2,1,5
197,0.3,0.067,27.0,0.9981,10.1,1,6
198,0.835,0.046,93.0,0.9924,13.0,1,7
199,1.09,0.061,31.0,0.9948,11.4,1,4
200,0.32,0.055999999999999994,24.0,0.99695,10.3,1,7
201,0.37,0.09699999999999999,145.0,0.9975,9.3,1,5
202,0.5,0.075,49.0,0.99545,9.5,1,5
203,0.42,0.08800000000000001,39.0,0.9961,9.2,1,5
204,0.43,0.08900000000000001,37.0,0.99615,9.2,1,6
205,0.3,0.095,28.0,0.9994,10.8,1,7
207,0.57,0.069,120.0,0.99625,9.3,1,5
208,0.44,0.1,95.0,0.9966,9.4,1,5
209,0.3,0.054000000000000006,19.0,0.998,10.5,1,7
210,0.53,0.039,19.0,0.99585,12.4,1,6
211,0.725,0.083,62.0,0.99685,10.0,1,6
212,0.44,0.059000000000000004,15.0,0.998,10.2,1,6
213,0.57,0.06,65.0,0.9959,10.1,1,5
214,0.735,0.092,41.0,0.9974,9.8,1,6
215,0.49,0.06,121.0,0.9974,10.5,1,5
216,0.625,0.10099999999999999,49.0,0.9962,11.0,1,5
217,0.725,0.07200000000000001,41.0,0.9967,9.1,1,5
218,0.49,0.076,44.0,0.9957,9.7,1,5
219,0.53,0.08,144.0,0.99655,9.5,1,5
220,0.34,0.08199999999999999,58.0,0.9964,9.4,1,6
221,0.53,0.10099999999999999,72.0,0.9957,9.4,1,5
222,0.61,0.057,10.0,0.99525,9.5,1,5
223,0.645,0.083,28.0,0.99815,10.0,1,6
224,0.635,0.08900000000000001,55.0,0.99745,10.4,1,4
225,0.43,0.073,63.0,0.99615,10.5,1,6
227,0.59,0.337,81.0,0.9964,9.5,1,6
228,0.82,0.08900000000000001,23.0,0.9984,9.8,1,5
229,0.52,0.081,37.0,0.99685,11.0,1,5
231,0.48,0.054000000000000006,106.0,0.9927,12.2,1,7
232,0.38,0.078,49.0,0.99625,9.9,1,6
233,0.37,0.09,58.0,0.998,9.6,1,6
234,1.0,0.065,37.0,0.99685,9.0,1,6
236,0.63,0.09699999999999999,38.0,0.99675,9.0,1,6
239,0.645,0.09699999999999999,39.0,0.99675,9.2,1,6
240,0.635,0.263,62.0,0.9971,9.3,1,5
241,0.38,0.09300000000000001,24.0,0.99925,10.9,1,6
242,0.58,0.102,109.0,0.99565,9.8,1,6
243,0.21,0.075,24.0,1.00005,9.2,1,7
245,0.66,0.084,23.0,0.9983,9.9,1,6
247,0.68,0.075,51.0,0.99685,9.5,1,5
248,0.6,0.07200000000000001,73.0,0.9963,9.3,1,5
249,0.53,0.07400000000000001,39.0,0.99615,9.8,1,6
250,0.32,0.063,37.0,0.9985,10.0,1,6
251,0.6,0.07400000000000001,34.0,0.9972,9.9,1,6
253,0.35,0.09,21.0,0.9986,10.5,1,5
254,0.775,0.092,86.0,0.9959,9.5,1,5
255,0.57,0.073,119.0,0.99675,9.3,1,5
256,0.34,0.075,13.0,0.998,9.2,1,5
257,0.695,0.075,56.0,0.9968,9.2,1,5
258,0.41,0.611,45.0,0.9968,9.4,1,5
259,0.31,0.085,33.0,0.99965,10.5,1,7
260,0.33,0.077,45.0,0.99625,9.3,1,5
261,0.975,0.087,67.0,0.99565,9.4,1,4
262,0.52,0.07,35.0,0.99575,10.0,1,5
263,0.37,0.077,49.0,0.9963,9.3,1,5
264,0.56,0.064,27.0,0.9999,10.9,1,5
265,0.26,0.071,10.0,0.9968,10.2,1,7
266,0.87,0.096,61.0,1.00025,9.8,1,4
267,0.35,0.078,37.0,0.9973,12.8,1,8
268,0.54,0.077,27.0,0.9987,9.4,1,6
270,0.18,0.10400000000000001,23.0,0.9996,10.1,1,6
273,0.545,0.087,61.0,0.9965,10.7,1,6
275,0.37,0.071,65.0,0.99935,10.1,1,5
276,0.715,0.076,38.0,0.99735,9.4,1,5
277,0.65,0.08800000000000001,94.0,0.99915,9.4,1,5
278,0.32,0.073,13.0,0.9976,12.6,1,8
279,0.4,0.087,47.0,0.9991,10.5,1,7
281,0.26,0.071,19.0,0.9986,9.3,1,6
282,0.27,0.358,10.0,0.9972,9.9,1,7
283,0.52,0.067,53.0,0.9971,9.1,1,5
284,0.59,0.102,71.0,1.00015,9.8,1,5
286,0.45,0.073,49.0,0.9997,10.3,1,6
287,0.4,0.092,53.0,0.9967,10.3,1,6
288,0.52,0.091,49.0,0.9976,10.6,1,7
290,0.42,0.105,98.0,1.001,9.2,1,5
291,0.2,0.34299999999999997,18.0,0.9979,10.5,1,5
292,0.55,0.091,48.0,0.9994,10.3,1,6
293,0.36,0.098,16.0,0.9964,10.1,1,6
294,0.34,0.094,53.0,1.0014,9.5,1,6
295,0.5,0.073,27.0,1.0001,9.5,1,5
296,0.83,0.086,70.0,0.9981,9.9,1,5
297,0.63,0.083,29.0,0.99855,9.6,1,5
298,0.65,0.094,31.0,0.9993,9.7,1,5
299,0.67,0.08,33.0,0.99845,9.6,1,5
300,0.53,0.086,44.0,0.9965,10.7,1,6
301,0.18,0.068,15.0,0.9973,10.1,1,6
302,0.705,0.092,28.0,0.9994,10.0,1,5
303,0.67,0.18600000000000003,21.0,0.996,9.5,1,5
304,0.65,0.11199999999999999,90.0,0.9973,9.2,1,5
305,0.53,0.063,25.0,0.9998,9.3,1,6
307,0.62,0.08199999999999999,54.0,0.9966,9.4,1,5
308,0.41,0.213,14.0,0.9994,9.5,1,6
309,0.43,0.214,12.0,0.9994,9.5,1,6
310,0.29,0.062,30.0,0.9968,9.5,1,6
311,0.53,0.07200000000000001,105.0,0.996,9.4,1,6
312,0.46,0.09300000000000001,98.0,0.99815,9.5,1,6
313,0.47,0.076,135.0,0.9976,9.4,1,5
314,0.36,0.087,72.0,0.99645,11.0,1,5
315,0.35,0.096,53.0,0.9962,11.0,1,6
316,0.56,0.102,92.0,0.9996,10.1,1,5
317,0.77,0.08199999999999999,74.0,0.99865,10.4,1,6
319,0.66,0.083,59.0,0.9989,11.5,1,7
321,0.61,0.09,87.0,0.99975,9.7,1,5
322,0.62,0.079,18.0,0.99735,9.3,1,5
323,0.59,0.09,73.0,0.9990000000000001,9.5,1,6
324,0.49,0.071,50.0,1.0015,9.2,1,6
326,0.53,0.121,14.0,0.9978,11.5,1,7
327,0.44,0.107,13.0,0.998,11.5,1,5
328,0.27,0.08199999999999999,21.0,1.0002,9.7,1,6
329,0.46,0.061,15.0,0.9981,9.5,1,5
330,0.36,0.122,41.0,0.998,12.5,1,6
332,0.58,0.066,114.0,0.9973,9.4,1,6
333,0.56,0.105,44.0,0.9958,11.0,1,5
334,0.65,0.078,38.0,0.9963,11.7,1,7
335,0.695,0.128,21.0,0.9992,12.2,1,7
336,0.43,0.052000000000000005,16.0,0.9948,12.5,1,6
337,0.43,0.08,58.0,0.9974,10.3,1,5
338,0.49,0.10300000000000001,99.0,1.0008,11.5,1,6
339,0.28,0.08199999999999999,29.0,0.9997,9.8,1,7
340,0.34,0.066,21.0,1.0,9.2,1,6
341,0.42,0.065,18.0,0.9972,11.3,1,6
342,0.39,0.11800000000000001,14.0,0.9982,9.8,1,6
344,0.57,0.08199999999999999,32.0,1.0006,10.7,1,6
345,0.685,0.067,63.0,0.9979,9.9,1,5
346,0.815,0.07200000000000001,34.0,0.9955,12.3,1,7
347,0.49,0.09300000000000001,15.0,0.9986,12.0,1,6
348,0.56,0.08900000000000001,46.0,0.9979,10.0,1,6
349,0.785,0.09300000000000001,28.0,0.9994,9.4,1,6
350,0.67,0.107,34.0,1.0004,9.9,1,6
351,0.795,0.096,26.0,0.9994,9.4,1,6
352,0.665,0.09,19.0,0.9974,9.3,1,5
353,0.53,0.12,77.0,1.0018,13.0,1,5
354,0.21,0.066,165.0,0.9912,11.9,1,6
355,0.75,0.078,32.0,0.9955,12.8,1,6
356,0.41,0.08,55.0,1.0001,11.0,1,5
357,0.42,0.11599999999999999,29.0,0.997,11.7,1,7
358,0.43,0.109,23.0,1.0,10.4,1,7
359,0.38,0.08800000000000001,41.0,1.001,9.8,1,6
360,0.7,0.099,81.0,0.9973,9.4,1,5
361,0.45,0.086,50.0,0.9982,9.9,1,6
362,0.58,0.07200000000000001,37.0,0.9992,10.0,1,5
363,0.46,0.071,15.0,0.9988,10.2,1,5
364,0.615,0.083,42.0,1.0022,10.0,1,7
366,0.42,0.107,21.0,0.9979,11.8,1,6
367,0.575,0.076,24.0,1.0,9.0,1,5
368,0.34,0.159,75.0,0.9998,9.4,1,5
369,0.27,0.07400000000000001,18.0,0.9962,12.0,1,7
371,0.765,0.063,63.0,0.9975,9.9,1,5
372,0.24,0.055999999999999994,25.0,0.9967,8.7,1,6
373,0.28,0.067,46.0,0.9967,10.6,1,6
374,0.55,0.106,72.0,0.9959,9.2,1,5
375,0.41,0.08900000000000001,47.0,1.0014,10.8,1,6
376,0.54,0.124,15.0,0.9984,11.8,1,7
377,0.45,0.078,47.0,1.0003,11.0,1,6
378,0.625,0.08800000000000001,24.0,0.9988,13.3,1,6
379,0.42,0.094,60.0,0.9979,10.8,1,6
380,0.26,0.08,27.0,0.9974,9.4,1,6
383,0.415,0.085,43.0,1.0014,10.0,1,6
385,0.51,0.087,54.0,0.998,9.2,1,5
386,0.63,0.09,37.0,0.9979,9.7,1,6
387,0.54,0.08800000000000001,48.0,0.9981,9.2,1,6
388,0.66,0.079,42.0,0.9972,9.6,1,6
389,0.46,0.08800000000000001,53.0,0.9981,9.2,1,6
390,0.38,0.096,49.0,0.9982,10.0,1,7
391,0.85,0.045,88.0,0.9924,12.9,1,8
392,0.37,0.08199999999999999,26.0,0.998,9.5,1,5
393,0.665,0.11199999999999999,95.0,0.997,9.1,1,5
394,0.6,0.063,25.0,0.9997,9.9,1,5
395,0.37,0.066,38.0,1.0004,13.0,1,7
396,0.735,0.122,124.0,0.9994,9.9,1,5
398,0.59,0.087,49.0,0.9988,11.0,1,6
400,0.765,0.064,42.0,0.9963,9.4,1,5
401,0.26,0.059000000000000004,38.0,0.9949,10.8,1,6
402,0.48,0.085,64.0,1.0,10.5,1,6
403,0.6,0.085,41.0,0.9994,10.5,1,6
404,0.69,0.075,27.0,0.9974,9.1,1,5
405,0.31,0.059000000000000004,25.0,0.9966,10.1,1,6
406,0.44,0.063,28.0,0.9981,10.8,1,6
407,0.39,0.09300000000000001,30.0,0.9996,10.8,1,7
408,0.34,0.174,16.0,0.997,11.3,1,6
409,0.46,0.07,49.0,0.9981,9.6,1,4
410,0.43,0.08,86.0,0.9987,9.5,1,6
411,0.45,0.08,78.0,0.9987,9.5,1,5
412,0.735,0.1,77.0,0.9966,9.3,1,5
413,0.4,0.09699999999999999,19.0,0.9986,11.7,1,7
414,0.52,0.087,122.0,0.9982,9.5,1,5
415,0.725,0.11699999999999999,134.0,1.0014,9.3,1,5
416,0.48,0.111,20.0,0.997,11.7,1,6
417,0.58,0.091,124.0,0.9956,10.5,1,5
418,0.38,0.121,20.0,0.9996,10.4,1,6
419,0.77,0.066,52.0,0.9976,9.9,1,5
420,0.56,0.08900000000000001,67.0,0.9972,11.8,1,7
421,0.84,0.059000000000000004,48.0,0.9952,12.3,1,7
423,0.96,0.047,60.0,0.9955,10.9,1,5
425,0.24,0.066,24.0,0.9978,11.0,1,7
427,0.67,0.045,48.0,0.9949,11.4,1,6
428,0.78,0.077,32.0,0.9988,10.6,1,6
429,0.52,0.07,30.0,0.9978,9.3,1,5
430,0.84,0.08800000000000001,35.0,0.9997,10.4,1,6
431,0.55,0.07400000000000001,66.0,0.9974,9.2,1,5
432,0.37,0.078,24.0,0.9958,12.8,1,6
433,0.39,0.091,18.0,1.0004,9.5,1,5
435,0.41,0.076,54.0,0.9996,9.9,1,6
437,0.67,0.06,62.0,0.9958,10.2,1,6
438,0.45,0.066,22.0,0.9986,11.2,1,6
439,0.62,0.062,50.0,0.9951,9.3,1,5
440,0.31,0.07200000000000001,29.0,0.9987,9.8,1,8
441,0.4,0.068,27.0,0.9988,11.3,1,6
442,0.685,0.1,43.0,1.0032,11.2,1,7
443,0.44,0.077,19.0,0.9963,11.6,1,7
444,0.57,0.054000000000000006,27.0,0.9934,12.5,1,7
445,0.735,0.079,31.0,0.9986,10.1,1,6
446,0.38,0.081,72.0,0.9996,10.5,1,5
447,0.48,0.127,16.0,0.9968,11.2,1,5
448,0.53,0.1,27.0,0.9967,10.2,1,6
449,0.39,0.095,35.0,0.9994,10.8,1,6
451,0.37,0.413,26.0,0.9979,9.1,1,6
452,0.56,0.084,35.0,0.9968,10.0,1,6
453,0.33,0.084,22.0,0.9998,11.2,1,7
455,0.23,0.063,67.0,0.9952,11.1,1,5
456,0.62,0.086,19.0,0.9988,13.4,1,8
457,0.59,0.095,22.0,0.9986,10.3,1,5
458,0.63,0.09699999999999999,65.0,0.9988,9.6,1,5
459,0.58,0.07400000000000001,47.0,1.0008,9.0,1,3
460,0.43,0.083,23.0,0.9976,11.3,1,6
461,0.615,0.087,19.0,0.9982,9.3,1,5
462,0.26,0.085,25.0,0.997,11.8,1,5
463,0.66,0.098,129.0,0.9972,9.0,1,5
464,0.315,0.084,15.0,0.9987,9.2,1,6
465,0.29,0.098,26.0,1.0006,9.7,1,5
466,0.5,0.069,51.0,0.9982,11.5,1,6
467,0.46,0.065,18.0,0.9947,14.0,1,6
468,0.36,0.09,21.0,1.0,9.2,1,6
469,0.82,0.07,48.0,0.9952,9.8,1,5
470,0.32,0.09300000000000001,47.0,0.9996,10.6,1,5
471,0.54,0.081,52.0,0.997,11.4,1,6
472,0.37,0.083,68.0,0.9995,10.4,1,6
473,0.35,0.062,14.0,0.9971,10.6,1,5
474,0.28,0.08,24.0,0.9982,9.4,1,6
475,0.68,0.087,28.0,0.9988,10.2,1,5
477,0.27,0.091,16.0,0.998,9.7,1,5
478,0.24,0.075,20.0,0.9977,11.0,1,6
479,0.685,0.077,31.0,0.9984,10.1,1,6
480,0.28,0.069,23.0,1.0026,9.2,1,5
481,0.3,0.08,17.0,0.9964,11.7,1,8
482,0.36,0.152,18.0,0.9986,9.4,1,5
483,0.36,0.152,18.0,0.9986,9.4,1,5
484,0.44,0.114,24.0,0.997,13.4,1,6
485,0.67,0.054000000000000006,17.0,0.9976,10.0,1,5
487,0.645,0.053,14.0,0.9982,10.0,1,6
488,0.32,0.081,67.0,1.0002,10.8,1,7
489,0.39,0.073,26.0,0.9984,10.2,1,6
490,0.775,0.078,56.0,0.9984,10.6,1,6
491,0.41,0.055,25.0,0.9952,13.3,1,7
492,0.4,0.052000000000000005,27.0,0.995,13.4,1,7
493,0.69,0.086,81.0,1.0002,11.6,1,6
495,0.39,0.051,91.0,0.9952,12.1,1,6
496,0.35,0.07,16.0,0.9972,11.0,1,8
498,0.52,0.081,38.0,0.9984,9.0,1,6
500,0.34,0.09,113.0,0.9966,11.1,1,5
501,0.44,0.07400000000000001,76.0,0.9990000000000001,12.0,1,7
503,0.26,0.078,24.0,0.9976,10.9,1,7
504,0.24,0.077,22.0,0.9976,10.8,1,7
505,0.49,0.07200000000000001,26.0,0.9968,12.5,1,7
506,0.24,0.075,21.0,0.9976,10.8,1,7
507,0.67,0.084,13.0,1.0,9.5,1,6
508,0.59,0.09,62.0,0.9994,10.2,1,6
510,0.29,0.084,43.0,0.9986,11.4,1,7
511,0.42,0.073,43.0,0.9978,9.5,1,5
512,0.4,0.125,49.0,0.998,9.7,1,6
513,0.51,0.107,15.0,0.9973,11.8,1,7
515,0.655,0.122,151.0,1.001,9.3,1,5
516,0.6,0.1,14.0,1.001,11.9,1,6
517,0.61,0.2,16.0,0.9994,8.4,1,3
518,0.21,0.08800000000000001,32.0,0.9972,11.7,1,6
519,0.365,0.08800000000000001,106.0,0.9966,11.0,1,5
521,0.25,0.08800000000000001,33.0,0.9982,10.0,1,6
522,0.41,0.08800000000000001,43.0,0.998,9.1,1,5
523,0.39,0.099,133.0,0.9979,9.8,1,5
524,0.4,0.085,142.0,0.9978,9.4,1,5
525,0.43,0.086,116.0,0.9976,9.5,1,5
526,0.64,0.105,53.0,0.9998,9.9,1,5
527,0.38,0.09699999999999999,85.0,0.9962,11.4,1,6
528,0.42,0.084,55.0,0.9988,8.7,1,6
529,0.63,0.077,33.0,0.9974,9.4,1,5
531,0.22,0.078,28.0,0.9990000000000001,10.3,1,6
533,0.38,0.098,42.0,1.0004,10.3,1,5
535,0.27,0.07200000000000001,33.0,0.9956,12.8,1,6
536,0.48,0.102,32.0,1.0,10.0,1,6
537,0.825,0.084,13.0,0.9972,10.7,1,6
538,0.35,0.066,35.0,1.0014,12.0,1,7
539,0.5,0.1,17.0,0.9996,11.2,1,5
540,0.59,0.10099999999999999,47.0,0.9988,9.6,1,5
541,0.46,0.064,17.0,0.9988,11.0,1,6
542,0.715,0.07,20.0,0.9966,9.9,1,5
543,0.66,0.085,53.0,0.9993,11.0,1,6
544,0.31,0.075,15.0,1.0008,8.4,1,6
545,0.47,0.094,106.0,0.9982,9.1,1,5
546,0.55,0.078,28.0,0.9983,9.5,1,6
547,0.31,0.067,21.0,0.9987,10.7,1,6
548,0.35,0.079,69.0,0.9994,10.4,1,6
549,0.53,0.171,25.0,0.9975,9.4,1,6
550,0.51,0.07400000000000001,25.0,0.9958,9.5,1,6
551,0.43,0.092,45.0,0.998,10.0,1,6
552,0.46,0.092,44.0,0.998,10.0,1,6
553,1.04,0.05,96.0,0.9934,11.5,1,5
554,0.645,0.095,23.0,1.00315,11.1,1,5
556,0.53,0.11800000000000001,17.0,1.0002,11.7,1,6
558,0.645,0.095,23.0,1.00315,11.1,1,5
559,0.47,0.085,47.0,1.0021,12.7,1,6
561,0.6,0.075,19.0,0.9994,11.4,1,5
563,0.44,0.078,121.0,0.9978,9.2,1,5
564,0.54,0.094,110.0,0.9982,9.2,1,5
565,0.29,0.092,60.0,0.9971,10.1,1,6
566,0.7,0.226,15.0,0.9991,9.0,1,6
568,0.5,0.25,20.0,0.9990000000000001,10.7,1,6
569,0.36,0.095,42.0,0.9946,11.7,1,6
